id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
GqtpwxkqK2wFS6zbVngoJv,Mechanical Turbine,Chromatic Archive,zF3NvadjGra8gU3PKNREct,['Neon Samurai'],['LZUoLAac3ar5vlfYUuQ424'],8,1,False,0.757,0.941,11,-8.294,1,0.2512,0.5176,0.010135,0.229,0.633,134.484,243878,4.0,2011,2011-02-27
6Bna5Bd7D9Afyaa4bMQ9bb,Whispering Light,Doomed Ghost,21OVShsyvw9iXFr8K3HViG,['Silicon Valley Boys'],['3GIeainCJnBfJdK9bG6kyb'],1,1,True,0.485,0.469,0,-12.850,0,0.2182,0.6939,0.038794,0.441,0.266,132.378,225380,4.0,2008,2008-04-20
NSQwiUff5cToqInZp1MeWl,Smooth Voice,Fading Feather,1jvZDtJL8fmXZU1E97patf,['Digital Ghosts'],['sgFhiZJEIJvDs659QBmCiM'],15,1,True,0.102,0.978,2,-14.691,1,0.4898,0.2350,0.070426,0.495,0.470,98.787,164423,4.0,2015,2015-09-15
IJSiVDsDXZv5NmRjVSyugr,Gentle Harbor,Analog Fantasy,zR3GUWSipi0FPTSHexoa39,['The Analog Kids'],['KStpuphYeexhuPBK7y15EQ'],13,1,True,0.377,0.652,6,-6.983,0,0.2414,0.3670,0.059249,0.297,0.824,164.637,190133,4.0,2012,2012-04-02
nnOsmPyynUcSfCuQpWUsyL,Glimmering Piano,Wandering Sea,nErGB4el8PWWIIvGEiip8O,['Bitter Sweet'],['11mpXEfTZTiRhrTMcbl871'],8,1,False,0.594,0.666,4,-10.340,0,0.4385,0.5644,0.016606,0.269,0.330,95.940,217796,4.0,1976,1976-05-08
LnLvM44U6RUL2BHT0btoi6,Rural City,Elegant Reality,93wvvGOFFj0YfMchog8J08,['Ethereal Voices'],['SHbQtSEbWLeTEXhcmuKkSx'],13,1,False,0.653,0.621,6,-10.465,1,0.0474,0.6568,0.017019,0.269,0.363,160.532,169184,4.0,1980,1980-11-18
aVOMPi7pfCrF5YxGFosEEv,Velvet Labyrinth,Remembered River,569WVjYJV8otTBaY0DiqTl,['The Method'],['OQ1eEssSnvZuP2bwM42AyT'],6,1,True,0.344,0.873,1,-4.175,1,0.3930,0.1200,0.041576,0.094,0.324,108.108,212961,4.0,1981,1981-09-15
nZE9eGIaic6hunP3yqaZIj,Mystic Satellite,Dark Pond,MdiagaLes9E4GsJYS18Wi3,['The Last Byte'],['J76HveoELBp3jVb5ASEOWU'],11,1,False,0.816,0.651,1,-6.305,1,0.1019,0.7482,0.054770,0.292,0.838,97.462,234144,4.0,2015,2015-09-06
0oV8EhUi9iWAMIGUlOyMbh,Dark Vortex,Modern Glacier,sPEYbv5lN3XqClXgUgNyph,['Synth City'],['E5C0RAM2pCQ3k1ynkJoI90'],15,1,True,0.745,0.815,7,-3.089,0,0.3347,0.1305,0.091523,0.459,0.449,95.923,189041,4.0,1970,1970-12-17
6qdqAR6HQ8w5bF53PmhcgJ,Astral Fragment,Industrial Tune,GhHvYP2QF6GsvOH1eh7Ykj,['Static Age'],['npkCcPmGi2xxwTMytb38Ry'],8,1,False,0.299,0.648,11,-12.534,1,0.3603,0.2203,0.045554,0.184,0.788,178.575,153500,4.0,1977,1977-05-23
BsI2RLAqHhWDpuGW12zxWd,Aetheric Forest,Twisted Anchor,TP2DwSsSm3I54hQEXgt3th,['Solar Flare'],['w9BxBAufnL2oWyEOQ1Qg6U'],3,1,False,0.401,0.939,6,-3.199,0,0.4585,0.0527,0.054385,0.294,0.292,80.969,246711,4.0,1986,1986-04-28
wKsKLG0PiLuMD2u747wCVj,Fractured Engine,Aetheric Threshold,W2NSMLRSoLmeg6seVYyNv9,['The Seers'],['QpEUvBgOsAQFdkY2CLNxx1'],3,1,True,0.594,0.614,9,-5.776,1,0.1195,0.2481,0.022831,0.454,0.551,141.806,224323,4.0,1984,1984-01-06
XlCi4Xd1ZepBACl4TUMWQ6,Cosmic Nightmare,Sacred Bass,UXXrU6chI7QSpUzQTW4HhF,['Paper Planes'],['TSHuvcPJitrDkJJM0ZUO1H'],12,1,True,0.794,0.595,7,-10.109,1,0.2525,0.1818,0.070035,0.170,0.336,111.842,213649,4.0,1988,1988-02-26
04IzekNf1EehYCS7PR94e3,Living Chord,Midnight Window,bVLT1Y8mT8ol5STT6VfkAB,['The Pulsars'],['ucIJ2PMgQxAlQBJYxlelUk'],13,1,False,0.743,0.833,4,-3.829,0,0.4805,0.3944,0.020597,0.380,0.346,81.986,258485,4.0,1972,1972-03-18
F9PCs2wNk8LvOmjOLkHZzU,Doomed Alley,Elegant Cello,nf0ilUmbL2llCbl8yVEHOc,['Synth City'],['17zNpEuoggThOCB8oU8XFL'],13,1,False,0.736,0.980,0,-2.116,0,0.3092,0.6622,0.091502,0.427,0.441,127.680,198470,4.0,2000,2000-03-20
7wmtPuQeDWbfZ2JwsXIml1,Peaceful Metal,Smooth Radar,UBczFuu1X1vJuKCIzPmY2M,['Savage Garden'],['aJGSrWFaVhj7gyzYzVZvmR'],6,1,False,0.424,0.402,0,-8.685,1,0.4811,0.3249,0.095962,0.210,0.588,162.176,280978,4.0,2022,2022-05-03
k8skbQdNpqMX1izj4n2kpo,Cosmic Treble,Ethereal Canyon,HNkMQQAYiveadFyEdo4xJ5,['Past Lives'],['fInh3pSsbjFM4dkEBS7q0i'],10,1,False,0.436,0.944,2,-11.056,0,0.3459,0.4552,0.033121,0.133,0.378,81.234,259636,4.0,1977,1977-08-17
3KOCmT2nC6k6mT5QV8gnxe,Submerged Canyon,Sharp Nightmare,8c2JrAjRJkmhwYBxJL33Rn,['Neon Samurai'],['WXDzdskaUsBX92fqTyaFeV'],6,1,False,0.705,0.864,1,-9.218,0,0.4565,0.4722,0.085816,0.232,0.554,125.852,181220,4.0,2017,2017-10-08
